Year,Month,percent,regionId,date,regionName,
1896,May,-0.4,1,1896 May,Global,
1896,Jun,-0.43,1,1896 Jun,Global,
1896,Jul,-0.17,1,1896 Jul,Global,
1896,Aug,-0.34,1,1896 Aug,Global,
1896,Sep,-0.07,1,1896 Sep,Global,
1896,Oct,0.01,1,1896 Oct,Global,
1896,Nov,-0.41,1,1896 Nov,Global,
1896,Dec,-0.18,1,1896 Dec,Global,
1897,Jan,-0.23,1,1897 Jan,Global,
1897,Feb,-0.46,1,1897 Feb,Global,
1897,Mar,-0.27,1,1897 Mar,Global,
1897,Apr,-0.09,1,1897 Apr,Global,
1897,May,-0.23,1,1897 May,Global,
1897,Jun,-0.15,1,1897 Jun,Global,
1897,Jul,-0.08,1,1897 Jul,Global,
1897,Aug,-0.28,1,1897 Aug,Global,
1897,Sep,-0.11,1,1897 Sep,Global,
1897,Oct,-0.18,1,1897 Oct,Global,
1897,Nov,0.02,1,1897 Nov,Global,
1897,Dec,-0.2,1,1897 Dec,Global,
1898,Jan,-0.11,1,1898 Jan,Global,
1898,Feb,-0.43,1,1898 Feb,Global,
1898,Mar,-0.79,1,1898 Mar,Global,
1898,Apr,-0.56,1,1898 Apr,Global,
1898,May,-0.62,1,1898 May,Global,
1898,Jun,-0.28,1,1898 Jun,Global,
1898,Jul,-0.33,1,1898 Jul,Global,
1898,Aug,-0.2,1,1898 Aug,Global,
1898,Sep,0.02,1,1898 Sep,Global,
1898,Oct,-0.37,1,1898 Oct,Global,
1898,Nov,-0.47,1,1898 Nov,Global,
1898,Dec,-0.19,1,1898 Dec,Global,
1899,Jan,-0.41,1,1899 Jan,Global,
1899,Feb,-0.58,1,1899 Feb,Global,
1899,Mar,-0.35,1,1899 Mar,Global,
1899,Apr,-0.22,1,1899 Apr,Global,
1899,May,-0.39,1,1899 May,Global,
1899,Jun,-0.52,1,1899 Jun,Global,
1899,Jul,-0.28,1,1899 Jul,Global,
1899,Aug,-0.26,1,1899 Aug,Global,
1899,Sep,0.01,1,1899 Sep,Global,
1899,Oct,-0.26,1,1899 Oct,Global,
1899,Nov,0,1,1899 Nov,Global,
1899,Dec,-0.19,1,1899 Dec,Global,
1900,Jan,-0.52,1,1900 Jan,Global,
1900,Feb,-0.04,1,1900 Feb,Global,
1900,Mar,-0.17,1,1900 Mar,Global,
1900,Apr,-0.15,1,1900 Apr,Global,
1900,May,-0.16,1,1900 May,Global,
1900,Jun,-0.09,1,1900 Jun,Global,
1900,Jul,-0.33,1,1900 Jul,Global,
1900,Aug,-0.15,1,1900 Aug,Global,
1900,Sep,-0.06,1,1900 Sep,Global,
1900,Oct,0.17,1,1900 Oct,Global,
1900,Nov,-0.13,1,1900 Nov,Global,
1900,Dec,-0.07,1,1900 Dec,Global,
1901,Jan,-0.22,1,1901 Jan,Global,
1901,Feb,-0.1,1,1901 Feb,Global,
1901,Mar,-0.12,1,1901 Mar,Global,
1901,Apr,-0.06,1,1901 Apr,Global,
1901,May,-0.18,1,1901 May,Global,
1901,Jun,0.04,1,1901 Jun,Global,
1901,Jul,-0.23,1,1901 Jul,Global,
1901,Aug,-0.17,1,1901 Aug,Global,
1901,Sep,0.06,1,1901 Sep,Global,
1901,Oct,-0.15,1,1901 Oct,Global,
1901,Nov,-0.13,1,1901 Nov,Global,
1901,Dec,-0.21,1,1901 Dec,Global,
1902,Jan,-0.3,1,1902 Jan,Global,
1902,Feb,-0.03,1,1902 Feb,Global,
1902,Mar,-0.18,1,1902 Mar,Global,
1902,Apr,-0.2,1,1902 Apr,Global,
1902,May,-0.31,1,1902 May,Global,
1902,Jun,-0.33,1,1902 Jun,Global,
1902,Jul,-0.42,1,1902 Jul,Global,
1902,Aug,-0.49,1,1902 Aug,Global,
1902,Sep,-0.39,1,1902 Sep,Global,
1902,Oct,-0.42,1,1902 Oct,Global,
1902,Nov,-0.48,1,1902 Nov,Global,
1902,Dec,-0.54,1,1902 Dec,Global,
1903,Jan,-0.33,1,1903 Jan,Global,
1903,Feb,-0.13,1,1903 Feb,Global,
1903,Mar,-0.16,1,1903 Mar,Global,
1903,Apr,-0.56,1,1903 Apr,Global,
1903,May,-0.45,1,1903 May,Global,
1903,Jun,-0.63,1,1903 Jun,Global,
1903,Jul,-0.29,1,1903 Jul,Global,
1903,Aug,-0.4,1,1903 Aug,Global,
1903,Sep,-0.37,1,1903 Sep,Global,
1903,Oct,-0.45,1,1903 Oct,Global,
1903,Nov,-0.44,1,1903 Nov,Global,
1903,Dec,-0.59,1,1903 Dec,Global,
1904,Jan,-0.78,1,1904 Jan,Global,
1904,Feb,-0.74,1,1904 Feb,Global,
1904,Mar,-0.55,1,1904 Mar,Global,
1904,Apr,-0.42,1,1904 Apr,Global,
1904,May,-0.62,1,1904 May,Global,
1904,Jun,-0.47,1,1904 Jun,Global,
1904,Jul,-0.59,1,1904 Jul,Global,
1904,Aug,-0.47,1,1904 Aug,Global,
1904,Sep,-0.41,1,1904 Sep,Global,
1904,Oct,-0.5,1,1904 Oct,Global,
1904,Nov,-0.24,1,1904 Nov,Global,
1904,Dec,-0.4,1,1904 Dec,Global,
1905,Jan,-0.41,1,1905 Jan,Global,
1905,Feb,-0.96,1,1905 Feb,Global,
1905,Mar,-0.21,1,1905 Mar,Global,
