Year,Month,percent,regionId,date,regionName
1895,Jun,-26,1,1895 Jun,Global
1895,Jul,-50,1,1895 Jul,Global
1895,Aug,-16,1,1895 Aug,Global
1895,Sep,-11,1,1895 Sep,Global
1895,Oct,-7,1,1895 Oct,Global
1895,Nov,-14,1,1895 Nov,Global
1895,Dec,-7,1,1895 Dec,Global
1896,Jan,-21,1,1896 Jan,Global
1896,Feb,-27,1,1896 Feb,Global
1896,Mar,-50,1,1896 Mar,Global
1896,Apr,-44,1,1896 Apr,Global
1896,May,-40,1,1896 May,Global
1896,Jun,-43,1,1896 Jun,Global
1896,Jul,-17,1,1896 Jul,Global
1896,Aug,-34,1,1896 Aug,Global
1896,Sep,-7,1,1896 Sep,Global
1896,Oct,1,1,1896 Oct,Global
1896,Nov,-41,1,1896 Nov,Global
1896,Dec,-18,1,1896 Dec,Global
1897,Jan,-23,1,1897 Jan,Global
1897,Feb,-46,1,1897 Feb,Global
1897,Mar,-27,1,1897 Mar,Global
1897,Apr,-9,1,1897 Apr,Global
1897,May,-23,1,1897 May,Global
1897,Jun,-15,1,1897 Jun,Global
1897,Jul,-8,1,1897 Jul,Global
1897,Aug,-28,1,1897 Aug,Global
1897,Sep,-11,1,1897 Sep,Global
1897,Oct,-18,1,1897 Oct,Global
1897,Nov,2,1,1897 Nov,Global
1897,Dec,-20,1,1897 Dec,Global
1898,Jan,-11,1,1898 Jan,Global
1898,Feb,-43,1,1898 Feb,Global
1898,Mar,-79,1,1898 Mar,Global
1898,Apr,-56,1,1898 Apr,Global
1898,May,-62,1,1898 May,Global
1898,Jun,-28,1,1898 Jun,Global
1898,Jul,-33,1,1898 Jul,Global
1898,Aug,-20,1,1898 Aug,Global
1898,Sep,2,1,1898 Sep,Global
1898,Oct,-37,1,1898 Oct,Global
1898,Nov,-47,1,1898 Nov,Global
1898,Dec,-19,1,1898 Dec,Global
1899,Jan,-41,1,1899 Jan,Global
1899,Feb,-58,1,1899 Feb,Global
1899,Mar,-35,1,1899 Mar,Global
1899,Apr,-22,1,1899 Apr,Global
1899,May,-39,1,1899 May,Global
1899,Jun,-52,1,1899 Jun,Global
1899,Jul,-28,1,1899 Jul,Global
1899,Aug,-26,1,1899 Aug,Global
1899,Sep,1,1,1899 Sep,Global
1899,Oct,-26,1,1899 Oct,Global
1899,Nov,0,1,1899 Nov,Global
1899,Dec,-19,1,1899 Dec,Global
1900,Jan,-52,1,1900 Jan,Global
1900,Feb,-4,1,1900 Feb,Global
1900,Mar,-17,1,1900 Mar,Global
1900,Apr,-15,1,1900 Apr,Global
1900,May,-16,1,1900 May,Global
1900,Jun,-9,1,1900 Jun,Global
1900,Jul,-33,1,1900 Jul,Global
1900,Aug,-15,1,1900 Aug,Global
1900,Sep,-6,1,1900 Sep,Global
1900,Oct,17,1,1900 Oct,Global
1900,Nov,-13,1,1900 Nov,Global
1900,Dec,-7,1,1900 Dec,Global
1901,Jan,-22,1,1901 Jan,Global
1901,Feb,-10,1,1901 Feb,Global
1901,Mar,-12,1,1901 Mar,Global
1901,Apr,-6,1,1901 Apr,Global
1901,May,-18,1,1901 May,Global
1901,Jun,4,1,1901 Jun,Global
1901,Jul,-23,1,1901 Jul,Global
1901,Aug,-17,1,1901 Aug,Global
1901,Sep,6,1,1901 Sep,Global
1901,Oct,-15,1,1901 Oct,Global
1901,Nov,-13,1,1901 Nov,Global
1901,Dec,-21,1,1901 Dec,Global
1902,Jan,-30,1,1902 Jan,Global
1902,Feb,-3,1,1902 Feb,Global
1902,Mar,-18,1,1902 Mar,Global
1902,Apr,-20,1,1902 Apr,Global
1902,May,-31,1,1902 May,Global
1902,Jun,-33,1,1902 Jun,Global
1902,Jul,-42,1,1902 Jul,Global
1902,Aug,-49,1,1902 Aug,Global
1902,Sep,-39,1,1902 Sep,Global
1902,Oct,-42,1,1902 Oct,Global
1902,Nov,-48,1,1902 Nov,Global
1902,Dec,-54,1,1902 Dec,Global
1903,Jan,-33,1,1903 Jan,Global
1903,Feb,-13,1,1903 Feb,Global
1903,Mar,-16,1,1903 Mar,Global
1903,Apr,-56,1,1903 Apr,Global
1903,May,-45,1,1903 May,Global
1903,Jun,-63,1,1903 Jun,Global
1903,Jul,-29,1,1903 Jul,Global
1903,Aug,-40,1,1903 Aug,Global
1903,Sep,-37,1,1903 Sep,Global
1903,Oct,-45,1,1903 Oct,Global
1903,Nov,-44,1,1903 Nov,Global
1903,Dec,-59,1,1903 Dec,Global
1904,Jan,-78,1,1904 Jan,Global
1904,Feb,-74,1,1904 Feb,Global
1904,Mar,-55,1,1904 Mar,Global
1904,Apr,-42,1,1904 Apr,Global
1904,May,-62,1,1904 May,Global
1904,Jun,-47,1,1904 Jun,Global
1904,Jul,-59,1,1904 Jul,Global
1904,Aug,-47,1,1904 Aug,Global
1904,Sep,-41,1,1904 Sep,Global
1904,Oct,-50,1,1904 Oct,Global
1904,Nov,-24,1,1904 Nov,Global
1904,Dec,-40,1,1904 Dec,Global
1905,Jan,-41,1,1905 Jan,Global
1905,Feb,-96,1,1905 Feb,Global
1905,Mar,-21,1,1905 Mar,Global
1905,Apr,-31,1,1905 Apr,Global
1905,May,-33,1,1905 May,Global
1905,Jun,-29,1,1905 Jun,Global
1905,Jul,-42,1,1905 Jul,Global
1905,Aug,-25,1,1905 Aug,Global
1905,Sep,-20,1,1905 Sep,Global
1905,Oct,-36,1,1905 Oct,Global
1905,Nov,-7,1,1905 Nov,Global
1905,Dec,-25,1,1905 Dec,Global
1906,Jan,-15,1,1906 Jan,Global
1906,Feb,-30,1,1906 Feb,Global
1906,Mar,-32,1,1906 Mar,Global
1906,Apr,6,1,1906 Apr,Global
1906,May,-18,1,1906 May,Global
1906,Jun,-21,1,1906 Jun,Global
1906,Jul,-19,1,1906 Jul,Global
1906,Aug,-15,1,1906 Aug,Global
1906,Sep,-29,1,1906 Sep,Global
1906,Oct,-17,1,1906 Oct,Global
1906,Nov,-52,1,1906 Nov,Global
1906,Dec,-25,1,1906 Dec,Global
1907,Jan,-48,1,1907 Jan,Global
1907,Feb,-65,1,1907 Feb,Global
1907,Mar,-46,1,1907 Mar,Global
1907,Apr,-59,1,1907 Apr,Global
1907,May,-58,1,1907 May,Global
1907,Jun,-65,1,1907 Jun,Global
1907,Jul,-41,1,1907 Jul,Global
1907,Aug,-52,1,1907 Aug,Global
1907,Sep,-37,1,1907 Sep,Global
1907,Oct,-31,1,1907 Oct,Global
1907,Nov,-57,1,1907 Nov,Global
1907,Dec,-64,1,1907 Dec,Global
